  5.9394555185D-01 6.40942D+08 1.01383D+05 2.04786D+01 2.70483D+02 7.300D-01
  6.0650257249D-01 6.67261D+08 1.02856D+05 2.01761D+01 2.63852D+02 7.300D-01
  6.1895819247D-01 6.94111D+08 1.04325D+05 1.98746D+01 2.57179D+02 7.300D-01
  6.3130717951D-01 7.21488D+08 1.05790D+05 1.95739D+01 2.50470D+02 7.300D-01
  6.4354443753D-01 7.49389D+08 1.07252D+05 1.92739D+01 2.43729D+02 7.300D-01
  6.5566500130D-01 7.77809D+08 1.08709D+05 1.89745D+01 2.36961D+02 7.300D-01
  6.6766403073D-01 8.06744D+08 1.10163D+05 1.86757D+01 2.30170D+02 7.300D-01
  6.7953680468D-01 8.36188D+08 1.11614D+05 1.83771D+01 2.23361D+02 7.300D-01
  6.9127871406D-01 8.66139D+08 1.13061D+05 1.80788D+01 2.16540D+02 7.300D-01
  7.0288525571D-01 8.96590D+08 1.14504D+05 1.77806D+01 2.09710D+02 7.300D-01
  7.1435202487D-01 9.27536D+08 1.15944D+05 1.74823D+01 2.02877D+02 7.300D-01
  7.2567470642D-01 9.58974D+08 1.17382D+05 1.71838D+01 1.96046D+02 7.300D-01
  7.3684906568D-01 9.90896D+08 1.18817D+05 1.68849D+01 1.89221D+02 7.300D-01
  7.4787093865D-01 1.02330D+09 1.20250D+05 1.65856D+01 1.82408D+02 7.300D-01
  7.5873622176D-01 1.05618D+09 1.21682D+05 1.62857D+01 1.75611D+02 7.300D-01
  7.6944086109D-01 1.08952D+09 1.23112D+05 1.59849D+01 1.68835D+02 7.300D-01
  7.7998084111D-01 1.12333D+09 1.24542D+05 1.56831D+01 1.62085D+02 7.300D-01
  7.9035217281D-01 1.15760D+09 1.25971D+05 1.53802D+01 1.55367D+02 7.300D-01
  8.0055088124D-01 1.19232D+09 1.27400D+05 1.50759D+01 1.48685D+02 7.300D-01
  8.1057299235D-01 1.22749D+09 1.28830D+05 1.47701D+01 1.42045D+02 7.300D-01
  8.2041451901D-01 1.26309D+09 1.30261D+05 1.44625D+01 1.35452D+02 7.300D-01
  8.3007144610D-01 1.29913D+09 1.31695D+05 1.41529D+01 1.28911D+02 7.300D-01
  8.3953971443D-01 1.33560D+09 1.33130D+05 1.38410D+01 1.22427D+02 7.300D-01
  8.4881979604D-01 1.37251D+09 1.34561D+05 1.35264D+01 1.16003D+02 7.300D-01
  8.5790842912D-01 1.40986D+09 1.35987D+05 1.32089D+01 1.09645D+02 7.300D-01
  8.6680147491D-01 1.44764D+09 1.37406D+05 1.28879D+01 1.03358D+02 7.300D-01
  8.7549464087D-01 1.48586D+09 1.38820D+05 1.25633D+01 9.71491D+01 7.300D-01
  8.8398345061D-01 1.52451D+09 1.40228D+05 1.22346D+01 9.10239D+01 7.300D-01
  8.9226320981D-01 1.56358D+09 1.41631D+05 1.19013D+01 8.49894D+01 7.300D-01
  9.0032896702D-01 1.60308D+09 1.43028D+05 1.15629D+01 7.90525D+01 7.300D-01
  9.0817546825D-01 1.64301D+09 1.44420D+05 1.12189D+01 7.32203D+01 7.300D-01
  9.1579710357D-01 1.68334D+09 1.45806D+05 1.08687D+01 6.75006D+01 7.300D-01
  9.2318784369D-01 1.72410D+09 1.47187D+05 1.05114D+01 6.19012D+01 7.300D-01
  9.3034116364D-01 1.76526D+09 1.48563D+05 1.01463D+01 5.64308D+01 7.300D-01
  9.3724994954D-01 1.80684D+09 1.49933D+05 9.77229D+00 5.10982D+01 7.300D-01
  9.4390638326D-01 1.84882D+09 1.51298D+05 9.38831D+00 4.59134D+01 7.300D-01
  9.5030179697D-01 1.89120D+09 1.52658D+05 8.99292D+00 4.08869D+01 7.300D-01
  9.5642648672D-01 1.93399D+09 1.54012D+05 8.58444D+00 3.60301D+01 7.300D-01
  9.6226946810D-01 1.97717D+09 1.55362D+05 8.16078D+00 3.13558D+01 7.300D-01
  9.6781814845D-01 2.02075D+09 1.56706D+05 7.71933D+00 2.68783D+01 7.300D-01
  9.7305787416D-01 2.06472D+09 1.58046D+05 7.25672D+00 2.26138D+01 7.300D-01
  9.7797128393D-01 2.10908D+09 1.59381D+05 6.76848D+00 1.85808D+01 7.300D-01
  9.8253734504D-01 2.15383D+09 1.60710D+05 6.24847D+00 1.48015D+01 7.300D-01
  9.8672983845D-01 2.19897D+09 1.62035D+05 5.68785D+00 1.13026D+01 7.300D-01
  9.9051480462D-01 2.24448D+09 1.63356D+05 5.07300D+00 8.11797D+00 7.300D-01
  9.9384579547D-01 2.29038D+09 1.64671D+05 4.38100D+00 5.29255D+00 7.300D-01
  9.9665365429D-01 2.33664D+09 1.65981D+05 3.56700D+00 2.89178D+00 7.300D-01
  9.9881811109D-01 2.38328D+09 1.67287D+05 2.51500D+00 1.02646D+00 7.300D-01
  1.0000000000D+00 2.43016D+09 1.68585D+05 0.00000D+00 0.00000D+00 7.300D-01
